doc_type,title,subtitle,date,year,link,link_type,source
press_release,Schedules for the meetings of the Governing Council and General Council of the ECB,,1998-09-12,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr980912_1.en.html,html,json_dataset
press_release,The signing of the Headquarters agreement between the Government of the Federal Republic of Germany and the European Central Bank on 18 September 1998,,1998-09-18,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr980918_2.en.html,html,json_dataset
press_release,The single monetary policy in Stage Three: General documentation on ESCB monetary policy instruments and procedures,,1998-09-18,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr980918.en.html,html,json_dataset
press_release,Assessment of EU securities settlement systems against the standards for their use in ESCB credit operations,,1998-09-29,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr980929.en.html,html,json_dataset
press_release,A stability-oriented monetary policy strategy for the ESCB,,1998-10-13,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr981013_1.en.html,html,json_dataset
press_release,Further decisions on the euro banknotes,,1998-10-13,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr981013_2.en.html,html,json_dataset
press_release,The use of a minimum reserve system by the European System of Central Banks in stage three final specification,,1998-10-13,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr981013_3.en.html,html,json_dataset
press_release,List of Monetary financial institutions and institutions subject to minimum reserves,,1998-10-16,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr981016.en.html,html,json_dataset
press_release,List of eligible assets,,1998-10-23,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr981023.en.html,html,json_dataset
press_release,Policy statement on euro payment and settlement systems located outside the euro area,,1998-11-03,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr981103_3.en.html,html,json_dataset
press_release,Preparations for the changeover weekend,,1998-11-03,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr981103_1.en.html,html,json_dataset
press_release,The exchange of national banknotes of other participating Member States by participating national central banks,,1998-11-03,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr981103_2.en.html,html,json_dataset
press_release,Third progress report on the TARGET project,,1998-11-12,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr981112.en.html,html,json_dataset
press_release,Key for the ECB's capital,,1998-12-01,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr981201_1.en.html,html,json_dataset
press_release,The correspondent central banking model,,1998-12-01,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr981201_2.en.html,html,json_dataset
press_release,The quantitative reference value for monetary growth,,1998-12-01,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr981201_3.en.html,html,json_dataset
press_release,On the publication of the Money and Banking Statistics Compilation Guide Addendum 1,,1998-12-02,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr981202.en.html,html,json_dataset
press_release,Interest rates in the European Monetary Union,,1998-12-03,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr981203.en.html,html,json_dataset
press_release,ECB Regulation concerning the consolidated balance sheet of the Monetary Financial Institutions sector,,1998-12-04,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr981204_1.en.html,html,json_dataset
press_release,Regulation of the European Central Bank on the application of minimum reserves,,1998-12-04,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr981204_2.en.html,html,json_dataset
press_release,Visit by the Spanish Prime Minister,,1998-12-08,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr981208.en.html,html,json_dataset
press_release,Monitoring procedure of the ESCB during the changeover weekend,,1998-12-11,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr981211.en.html,html,json_dataset
press_release,Consolidated balance sheet of the Monetary Financial Institutions sector (September 1997-October 1998) and the broad monetary aggregate M3 (December 1996-October 1998),,1998-12-14,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr981214.en.html,html,json_dataset
press_release,TARGET testing completed,,1998-12-17,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr981217.en.html,html,json_dataset
press_release,The ECB interest rates to be applied at the start of Stage Three,,1998-12-22,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr981222.en.html,html,json_dataset
press_release,Determination of the euro conversion rates,,1998-12-31,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr981231_2.en.html,html,json_dataset
press_release,Euro central rates and intervention rates in ERM II,,1998-12-31,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr981231_3.en.html,html,json_dataset
press_release,List of eligible assets,,1998-12-31,1998,https://www.ecb.europa.eu/press/pr/date/1998/html/pr981231_1.en.html,html,json_dataset
press_release,Successful conversion to the euro,,1999-01-03,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990103.en.html,html,json_dataset
press_release,Successful launch of TARGET,,1999-01-04,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990104_1.en.html,html,json_dataset
press_release,Consolidated opening financial statement of the European System of Central Banks (Eurosystem) as at 1 January 1999,,1999-01-05,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990105_1.en.html,html,json_dataset
press_release,The first main refinancing operation of the Eurosystem,,1999-01-05,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990105.en.html,html,json_dataset
press_release,Decisions on ECB interest rates,,1999-01-07,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990107.en.html,html,json_dataset
press_release,TARGET: temporary extended service window,,1999-01-11,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990111.en.html,html,json_dataset
press_release,The results of the second main refinancing operation of the Eurosystem and information regarding the first longer-term refinancing operations,,1999-01-12,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990112.en.html,html,json_dataset
press_release,ECB Monthly Bulletin,,1999-01-18,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990118.en.html,html,json_dataset
press_release,Decisions on ECB interest rates,,1999-01-21,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990121.en.html,html,json_dataset
